transaction_id,customer_id,product_id,branch_id,rm_id,transaction_date,transaction_type,channel,amount_vnd
3075,226,108,1,5,2026-02-10,Giai ngan vay,POS,1600000000
3797,317,105,4,13,2026-03-21,Phi banca,Quay giao dich,1200000
1317,253,107,7,22,2026-04-06,Chi tieu the,Quay giao dich,3600000
1368,212,102,8,26,2026-04-13,Rut tiet kiem,Quay giao dich,76000000
4983,289,101,6,19,2025-10-22,Rut tiet kiem,ATM,265000000
5554,186,102,9,29,2026-06-22,Giai ngan vay,ATM,1018000000
5666,315,106,7,22,2025-10-29,Phi banca,POS,1600000
3420,105,105,7,22,2026-07-15,Giai ngan vay,Mobile Banking,1504000000
249,319,105,9,31,2025-07-07,Tra no vay,ATM,1000000
1396,85,103,12,42,2025-10-21,Gui tiet kiem,Internet Banking,6000000
1399,269,106,8,27,2025-12-12,Tra no vay,Quay giao dich,57000000
4503,271,106,2,8,2026-03-29,Gui tiet kiem,Mobile Banking,213000000
2089,273,110,11,37,2026-04-10,Tra no vay,Internet Banking,69000000
2190,163,102,5,16,2026-07-19,Tra no vay,Mobile Banking,58000000
4569,320,109,1,4,2026-07-02,Chi tieu the,POS,1100000
2068,191,110,11,37,2025-10-23,Tra no vay,POS,30000000
1483,163,102,5,16,2025-10-02,Rut tiet kiem,POS,41000000
3900,17,106,4,13,2025-09-04,Gui tiet kiem,Mobile Banking,350000000
2076,133,108,9,30,2026-02-18,Giai ngan vay,Internet Banking,1616000000
5639,229,110,5,17,2025-10-13,Giai ngan vay,POS,-224000000
5809,138,110,10,35,2025-08-27,Tra no vay,Quay giao dich,79000000
4136,69,109,8,28,2025-12-30,Phi banca,POS,2000000
93,73,102,9,30,2025-07-22,Chi tieu the,Quay giao dich,600000
4584,163,108,5,16,2026-07-14,Gui tiet kiem,Internet Banking,176000000
4151,83,110,8,27,2025-11-23,Gui tiet kiem,ATM,164000000
1248,309,109,6,19,2025-11-25,Rut tiet kiem,POS,281000000
5535,,108,4,13,2026-05-27,Giai ngan vay,Mobile Banking,999000000
5028,82,105,8,28,2025-10-04,Tra no vay,Mobile Banking,33000000
4664,326,106,4,13,2025-08-13,Phi banca,Internet Banking,100000
5148,175,107,6,19,2025-09-19,Phi banca,Internet Banking,700000
4315,265,110,10,35,2025-10-16,Phi banca,POS,1900000
5670,1,102,5,17,2026-05-21,Phi banca,Internet Banking,1000000
3758,104,104,7,22,2025-07-04,Tra no vay,Internet Banking,39000000
4687,128,105,12,41,2025-09-14,Gui tiet kiem,Internet Banking,293000000
3154,198,105,4,14,2025-12-27,Giai ngan vay,ATM,1049000000
4359,225,107,3,9,2026-01-24,Giai ngan vay,Internet Banking,714000000
3165,145,109,1,3,2026-03-04,Gui tiet kiem,Mobile Banking,441000000
5080,11,103,3,11,2025-11-28,Phi banca,Internet Banking,1900000
822,224,104,3,9,2025-08-20,Chi tieu the,Mobile Banking,4900000
4036,66,106,7,24,2025-08-17,Giai ngan vay,Internet Banking,1929000000
293,222,110,7,23,2026-01-18,Phi banca,Internet Banking,700000
1807,189,109,10,32,2026-07-25,Tra no vay,Mobile Banking,38000000
5979,356,110,10,33,2025-11-02,Phi banca,POS,800000
5040,289,104,6,19,2026-06-19,Chi tieu the,Quay giao dich,4900000
5887,113,109,5,18,2025-08-24,Chi tieu the,POS,2200000
5236,34,107,4,14,2026-02-25,Giai ngan vay,POS,1385000000
146,315,101,7,22,2026-04-04,Tra no vay,Quay giao dich,74000000
307,249,103,9,30,2026-03-28,Giai ngan vay,Quay giao dich,1269000000
2571,385,108,6,20,2026-05-22,Phi banca,ATM,1800000
2552,149,101,1,2,2026-04-25,Giai ngan vay,Internet Banking,1064000000
2564,17,106,4,13,2025-10-27,Rut tiet kiem,POS,91000000
3434,388,104,3,11,2025-08-30,Gui tiet kiem,ATM,432000000
184,5,101,10,32,2026-04-24,Phi banca,ATM,800000
3528,47,108,1,3,2026-02-06,Chi tieu the,Quay giao dich,3200000
3204,228,109,2,6,2025-08-22,Gui tiet kiem,Quay giao dich,231000000
2160,230,101,3,9,2026-03-16,Gui tiet kiem,Mobile Banking,119000000
5922,214,102,1,3,2025-07-16,Giai ngan vay,POS,387000000
3068,305,110,12,40,2026-01-01,Phi banca,POS,400000
2846,40,108,8,27,2025-10-17,Tra no vay,Internet Banking,53000000
900,201,107,2,8,2026-06-23,Tra no vay,Quay giao dich,4000000
77,21,107,3,9,2025-11-20,Giai ngan vay,POS,1246000000
5873,338,102,5,15,2026-02-04,Tra no vay,Internet Banking,8000000
3967,123,104,1,2,2026-02-13,Gui tiet kiem,Quay giao dich,406000000
4017,93,105,10,32,2026-02-14,Rut tiet kiem,ATM,290000000
2314,220,106,2,7,2025-10-09,Tra no vay,POS,73000000
758,5,102,10,32,2026-04-04,Phi banca,Internet Banking,1900000
3592,321,103,4,14,2025-12-09,Giai ngan vay,Internet Banking,312000000
4938,364,105,5,15,2026-06-19,Giai ngan vay,Internet Banking,140000000
2577,288,110,4,14,2026-06-23,Rut tiet kiem,ATM,296000000
3466,357,106,6,19,2026-02-08,Tra no vay,Mobile Banking,1000000
3296,227,102,2,8,2026-06-17,Tra no vay,ATM,88000000
5716,355,102,1,1,2025-11-02,Phi banca,POS,1800000
2436,278,105,10,32,2025-11-03,Phi banca,Quay giao dich,2000000
1745,56,104,5,16,2025-10-18,Phi banca,ATM,200000
762,116,107,1,2,2026-06-17,Tra no vay,Quay giao dich,14000000
935,11,108,3,11,2025-07-18,Giai ngan vay,Internet Banking,665000000
3842,350,110,3,9,2026-04-30,Phi banca,Mobile Banking,1500000
5201,194,103,6,20,2026-02-10,Rut tiet kiem,ATM,53000000
2990,140,107,9,29,2025-07-09,Rut tiet kiem,Internet Banking,79000000
4660,67,101,4,14,2026-02-16,Phi banca,Mobile Banking,1800000
4827,70,107,12,40,2026-02-27,Giai ngan vay,POS,1414000000
2295,5,102,10,32,2026-03-31,Giai ngan vay,Mobile Banking,394000000
1306,187,101,11,37,2026-02-28,Rut tiet kiem,Mobile Banking,2000000
228,285,105,2,7,2025-10-24,Giai ngan vay,Mobile Banking,1395000000
3575,44,102,6,21,2026-07-24,Tra no vay,ATM,56000000
1848,253,102,7,22,2026-02-12,Rut tiet kiem,Mobile Banking,282000000
4413,237,106,1,1,2026-06-18,Chi tieu the,POS,3900000
3180,166,109,10,32,2025-11-22,Giai ngan vay,Internet Banking,346000000
3634,199,108,8,27,2025-10-01,Chi tieu the,Quay giao dich,1200000
3100,219,101,6,19,2025-08-15,Giai ngan vay,Internet Banking,519000000
5877,52,109,11,36,2025-10-16,Tra no vay,Quay giao dich,23000000
5134,394,105,6,19,2026-01-30,Gui tiet kiem,Internet Banking,72000000
5239,275,108,1,4,2025-11-16,Giai ngan vay,POS,1230000000
2894,217,101,5,16,2026-06-17,Tra no vay,Quay giao dich,73000000
461,135,104,11,39,2026-05-13,Rut tiet kiem,ATM,299000000
2441,334,103,7,24,2025-07-24,Rut tiet kiem,Mobile Banking,94000000
4047,168,106,5,16,2026-04-23,Giai ngan vay,Mobile Banking,388000000
4530,187,101,11,37,2026-04-11,Phi banca,Quay giao dich,1500000
4333,231,102,2,8,2025-09-13,Giai ngan vay,ATM,1471000000
4460,233,103,3,10,2026-03-24,Gui tiet kiem,Mobile Banking,393000000
4739,174,101,10,35,2025-08-12,Phi banca,Internet Banking,1100000
4442,203,103,6,19,2026-02-11,Tra no vay,Internet Banking,29000000
4523,155,101,6,20,2026-06-17,Tra no vay,POS,73000000
343,142,101,5,15,2025-10-08,Rut tiet kiem,Quay giao dich,243000000
1477,162,108,7,22,2025-08-13,Gui tiet kiem,Mobile Banking,309000000
4329,161,107,2,7,2026-05-16,Rut tiet kiem,Internet Banking,243000000
5644,299,101,8,27,2026-01-19,Gui tiet kiem,Internet Banking,323000000
5898,160,110,5,17,2026-01-29,Tra no vay,POS,83000000
1810,242,109,9,31,2026-06-15,Chi tieu the,ATM,-3800000
4289,215,110,3,9,2025-07-10,Tra no vay,Quay giao dich,66000000
4524,,104,3,9,2025-08-07,Gui tiet kiem,ATM,492000000
4475,60,104,10,34,2025-08-27,Chi tieu the,POS,3900000
5005,190,105,9,31,2026-06-13,Gui tiet kiem,Quay giao dich,203000000
5533,105,107,7,22,2026-01-16,Gui tiet kiem,ATM,151000000
3313,289,101,6,19,2025-10-03,Rut tiet kiem,Mobile Banking,289000000
5679,51,104,7,23,2025-10-18,Giai ngan vay,Internet Banking,1200000000
4390,371,110,8,28,2025-12-13,Rut tiet kiem,Mobile Banking,66000000
4343,384,105,8,26,2025-09-17,Rut tiet kiem,ATM,137000000
4641,,109,9,29,2025-10-04,Tra no vay,Mobile Banking,1000000
2447,126,104,4,14,2026-06-10,Rut tiet kiem,Mobile Banking,222000000
3244,370,108,11,37,2026-04-19,Chi tieu the,Mobile Banking,2100000
2297,47,103,1,3,2025-09-22,Giai ngan vay,Mobile Banking,1216000000
122,397,107,1,5,2026-03-25,Giai ngan vay,ATM,1478000000
1785,226,108,1,5,2026-03-16,Chi tieu the,Internet Banking,2300000
34,24,105,11,38,2025-11-26,Phi banca,ATM,500000
1333,153,101,10,33,2025-08-31,Rut tiet kiem,Internet Banking,234000000
4969,271,102,2,8,2026-02-15,Giai ngan vay,Quay giao dich,1829000000
5368,14,110,6,19,2025-10-01,Tra no vay,ATM,97000000
4852,135,107,11,39,2026-07-04,Chi tieu the,Internet Banking,3300000
4554,263,101,12,40,2025-08-23,Tra no vay,ATM,2000000
5051,313,104,5,18,2026-05-05,Giai ngan vay,POS,507000000
2300,146,101,9,29,2025-07-10,Chi tieu the,Mobile Banking,600000
5851,235,110,10,32,2026-04-11,Chi tieu the,POS,2200000
3916,73,105,9,30,2026-02-25,Tra no vay,Quay giao dich,18000000
3791,101,105,3,10,2026-07-17,Gui tiet kiem,Internet Banking,236000000
3520,4,104,6,20,2026-04-11,Giai ngan vay,POS,899000000
5373,390,109,4,14,2025-07-19,Giai ngan vay,Internet Banking,1950000000
4358,242,104,9,31,2025-08-17,Rut tiet kiem,Mobile Banking,29000000
1922,,101,11,37,2026-05-04,Chi tieu the,Mobile Banking,2300000
344,28,106,2,6,2025-11-23,Tra no vay,Mobile Banking,98000000
2485,165,108,7,25,2026-05-24,Chi tieu the,Mobile Banking,3800000
3280,388,102,3,11,2025-12-26,Rut tiet kiem,Mobile Banking,106000000
678,,104,3,9,2026-03-11,Phi banca,Internet Banking,700000
4079,400,102,11,36,2025-08-01,Gui tiet kiem,Internet Banking,234000000
1953,365,101,8,26,2025-07-01,Tra no vay,Mobile Banking,51000000
4797,80,104,7,25,2025-11-01,Phi banca,Mobile Banking,400000
5298,368,103,4,13,2025-07-26,Chi tieu the,Mobile Banking,1400000
2003,100,101,5,15,2026-06-20,Rut tiet kiem,POS,149000000
2029,100,109,5,15,2026-01-19,Gui tiet kiem,Mobile Banking,6000000
501,107,105,9,29,2026-06-19,Phi banca,Quay giao dich,2000000
5217,303,102,10,34,2026-06-14,Giai ngan vay,ATM,1217000000
5065,71,110,10,33,,Chi tieu the,Internet Banking,4400000
4128,32,102,1,1,2025-11-24,Giai ngan vay,Quay giao dich,329000000
3907,331,103,10,35,2026-03-18,Gui tiet kiem,POS,177000000
4909,171,110,2,6,2025-12-29,Gui tiet kiem,Quay giao dich,420000000
4515,329,109,12,42,2026-04-27,Rut tiet kiem,Mobile Banking,245000000
222,193,110,11,39,2026-06-05,Gui tiet kiem,POS,135000000
3022,181,104,11,38,2026-02-05,Rut tiet kiem,ATM,183000000
4353,281,102,5,16,2026-03-07,Tra no vay,ATM,22000000
4677,97,102,4,14,2026-05-17,Phi banca,Quay giao dich,800000
2594,18,102,8,27,2025-10-08,Rut tiet kiem,Mobile Banking,140000000
1047,234,110,5,15,2026-04-21,Phi banca,ATM,1200000
4216,363,110,10,33,2026-06-07,Rut tiet kiem,Quay giao dich,157000000
1446,134,103,5,17,2026-05-26,Gui tiet kiem,POS,259000000
2147,151,103,12,42,2025-10-03,Rut tiet kiem,Internet Banking,204000000
167,140,109,9,29,2026-02-13,Phi banca,Mobile Banking,1900000
3609,83,103,8,27,2025-10-04,Chi tieu the,Mobile Banking,2900000
1961,269,110,8,27,2026-04-13,Giai ngan vay,POS,764000000
4414,229,108,5,17,2025-07-29,Chi tieu the,ATM,1200000
4777,125,101,1,4,2025-11-12,Gui tiet kiem,ATM,69000000
2167,345,109,5,15,2026-04-22,Phi banca,ATM,1100000
5147,186,110,9,29,2026-06-14,Giai ngan vay,POS,1755000000
1883,258,102,7,24,2026-01-30,Gui tiet kiem,Internet Banking,213000000
2036,116,110,1,2,2025-09-17,Phi banca,Quay giao dich,600000
1381,148,110,1,2,2026-03-20,Giai ngan vay,Mobile Banking,1907000000
424,50,107,4,12,2025-12-24,Tra no vay,Internet Banking,32000000
4494,218,108,11,38,2025-08-31,Tra no vay,Quay giao dich,75000000
1084,57,110,8,26,2025-11-26,Rut tiet kiem,Mobile Banking,206000000
808,8,103,9,30,2026-02-20,Tra no vay,Mobile Banking,87000000
2611,177,106,5,17,2025-09-24,Rut tiet kiem,Internet Banking,255000000
1909,60,105,10,34,,Rut tiet kiem,Internet Banking,29000000
4693,334,107,7,24,2026-03-06,Phi banca,Quay giao dich,1600000
51,361,109,3,9,2026-07-16,Phi banca,POS,1700000
5780,273,101,11,37,2026-01-09,Rut tiet kiem,Internet Banking,43000000
4587,45,108,7,24,2026-02-07,Giai ngan vay,Mobile Banking,-274000000
3984,3,107,11,37,2025-08-09,Giai ngan vay,POS,898000000
4166,8,107,9,30,2026-02-11,Phi banca,Internet Banking,1000000
4819,326,102,4,13,2025-10-29,Rut tiet kiem,ATM,40000000
4542,68,106,1,5,2025-09-11,Giai ngan vay,ATM,873000000
8,191,101,11,37,2025-12-20,Giai ngan vay,Internet Banking,1807000000
738,271,110,2,8,2026-01-07,Phi banca,Mobile Banking,400000
2711,138,107,10,35,2026-02-05,Tra no vay,POS,100000000
5488,291,105,10,35,2026-03-23,Rut tiet kiem,Internet Banking,32000000
4038,146,103,9,29,2026-02-05,Rut tiet kiem,Internet Banking,95000000
4222,344,104,1,3,2026-01-26,Phi banca,Quay giao dich,500000
3798,231,106,2,8,2026-01-30,Chi tieu the,Mobile Banking,700000
3949,148,103,1,2,2025-07-21,Rut tiet kiem,Internet Banking,284000000
3803,328,110,10,33,2026-01-29,Chi tieu the,POS,4900000
5965,112,101,7,24,2026-01-02,Phi banca,Mobile Banking,600000
262,260,109,3,10,2025-12-13,Gui tiet kiem,Quay giao dich,356000000
4003,309,104,6,19,2026-06-13,Gui tiet kiem,Internet Banking,272000000
1734,23,110,5,16,2025-12-29,Phi banca,Mobile Banking,1400000
329,123,108,1,2,2026-01-16,Chi tieu the,Quay giao dich,2900000
4522,140,109,9,29,2026-07-25,Phi banca,POS,400000
3830,161,104,2,7,2026-07-23,Rut tiet kiem,Internet Banking,275000000
1412,257,109,9,30,2025-07-30,Rut tiet kiem,ATM,25000000
3323,41,103,1,1,2026-02-01,Chi tieu the,POS,4600000
1621,21,109,3,9,2026-04-29,Phi banca,POS,1800000
5770,90,110,11,36,2025-08-09,Rut tiet kiem,POS,209000000
5297,52,104,11,36,2026-01-12,Giai ngan vay,Mobile Banking,1610000000
4721,143,105,6,19,2026-06-11,Rut tiet kiem,POS,239000000
3834,11,104,3,11,2025-10-20,Giai ngan vay,Quay giao dich,88000000
1267,61,109,1,4,2026-05-13,Rut tiet kiem,ATM,283000000
4316,321,105,4,14,2025-07-03,Rut tiet kiem,Internet Banking,127000000
5846,370,105,11,37,2025-09-07,Rut tiet kiem,POS,193000000
631,171,103,2,6,2026-05-22,Phi banca,Internet Banking,1900000
4007,144,106,5,16,2025-07-08,Rut tiet kiem,POS,127000000
2426,328,103,10,33,2026-07-23,Tra no vay,ATM,46000000
3600,113,101,5,18,2026-05-22,Gui tiet kiem,Quay giao dich,417000000
3882,276,110,9,29,2025-09-23,Gui tiet kiem,Mobile Banking,395000000
4229,201,105,2,8,2026-07-07,Gui tiet kiem,POS,307000000
5940,341,108,2,8,2026-05-23,Gui tiet kiem,Quay giao dich,70000000
2443,151,103,12,42,2025-10-17,Tra no vay,Internet Banking,76000000
848,386,106,8,28,2026-01-21,Chi tieu the,Quay giao dich,400000
4452,81,102,1,1,2025-11-05,Chi tieu the,ATM,2400000
2156,,105,5,15,2025-07-13,Phi banca,POS,300000
464,182,110,8,27,2026-06-09,Phi banca,POS,2000000
2939,193,108,11,39,2025-12-24,Rut tiet kiem,POS,276000000
139,151,106,12,42,2025-08-29,Giai ngan vay,POS,1715000000
476,23,110,5,16,2026-02-17,Phi banca,Internet Banking,1000000
4975,335,109,9,30,2025-08-16,Giai ngan vay,POS,1822000000
1288,219,105,6,19,2025-12-24,Chi tieu the,Mobile Banking,1100000
987,15,105,3,10,2025-11-15,Rut tiet kiem,POS,210000000
795,21,106,3,9,2025-11-24,Tra no vay,ATM,47000000
1860,253,104,7,22,2026-01-11,Giai ngan vay,Internet Banking,426000000
3453,158,107,12,41,2025-07-16,Tra no vay,Mobile Banking,78000000
2868,161,105,2,7,2025-07-08,Chi tieu the,Quay giao dich,1100000
5973,354,101,2,8,2025-12-15,Giai ngan vay,Quay giao dich,685000000
2862,220,105,2,7,2026-01-02,Chi tieu the,POS,4700000
1715,64,105,7,22,2025-07-20,Phi banca,Quay giao dich,1800000
2211,85,102,12,42,2025-07-12,Rut tiet kiem,ATM,271000000
1876,261,105,2,8,2025-12-17,Gui tiet kiem,Internet Banking,341000000
2859,,110,4,14,2026-05-03,Giai ngan vay,Internet Banking,1739000000
5820,92,109,8,27,2026-07-17,Chi tieu the,ATM,4000000
5264,100,107,5,15,2025-07-27,Chi tieu the,Internet Banking,3400000
4243,85,109,12,42,2026-04-22,Gui tiet kiem,Internet Banking,462000000
1983,230,106,3,9,2026-07-09,Rut tiet kiem,Mobile Banking,69000000
5823,334,105,7,24,2026-05-09,Gui tiet kiem,POS,469000000
5229,340,103,10,34,2026-06-21,Giai ngan vay,POS,1406000000
164,281,101,5,16,2025-07-14,Chi tieu the,ATM,4000000
4319,268,102,5,15,2026-02-21,Rut tiet kiem,Internet Banking,284000000
741,23,103,5,16,2025-10-07,Chi tieu the,ATM,3600000
2750,354,102,2,8,2026-03-18,Tra no vay,ATM,68000000
4134,369,102,10,33,2025-07-21,Chi tieu the,Internet Banking,3500000
3894,126,103,4,14,2025-11-04,Giai ngan vay,Quay giao dich,1461000000
1106,317,103,4,13,2025-12-24,Chi tieu the,Mobile Banking,2400000
5126,327,107,7,25,2026-01-05,Rut tiet kiem,Mobile Banking,220000000
4612,255,109,6,20,2026-05-03,Phi banca,Quay giao dich,1100000
1919,238,104,4,13,2025-08-31,Gui tiet kiem,ATM,314000000
1004,130,107,6,19,2025-12-07,Rut tiet kiem,Internet Banking,165000000
4374,380,109,9,29,2025-08-18,Gui tiet kiem,Quay giao dich,143000000
3032,56,110,5,16,2026-03-08,Chi tieu the,POS,4000000
1214,209,103,4,14,2026-04-03,Giai ngan vay,POS,1298000000
1874,196,109,10,35,2026-03-22,Phi banca,Quay giao dich,1800000
1788,329,106,12,42,2025-11-01,Gui tiet kiem,POS,80000000
4624,391,102,11,38,2025-09-15,Tra no vay,Quay giao dich,78000000
4692,164,110,11,39,2025-08-29,Phi banca,Quay giao dich,1900000
4415,175,104,6,19,2025-09-05,Rut tiet kiem,Quay giao dich,163000000
1307,288,103,4,14,2025-11-17,Tra no vay,Internet Banking,83000000
2593,87,106,1,5,2026-04-19,Gui tiet kiem,Quay giao dich,210000000
2960,215,106,3,9,2025-12-01,Giai ngan vay,ATM,1468000000
3151,261,108,2,8,2026-06-28,Phi banca,POS,1400000
3976,133,106,9,30,2026-01-31,Tra no vay,ATM,86000000
1358,260,108,3,10,2025-08-05,Rut tiet kiem,POS,141000000
2429,293,101,1,4,2026-01-08,Rut tiet kiem,Mobile Banking,155000000
1038,383,103,6,19,2025-12-06,Tra no vay,Quay giao dich,36000000
3028,187,107,11,37,2026-01-03,Rut tiet kiem,POS,13000000
4586,395,108,7,22,2025-10-28,Rut tiet kiem,Internet Banking,214000000
1006,165,108,7,25,2026-06-28,Chi tieu the,ATM,2800000
1561,209,109,4,14,2026-07-04,Gui tiet kiem,POS,10000000
4756,364,109,5,15,2025-07-04,Tra no vay,Quay giao dich,33000000
1898,103,109,11,36,2025-12-21,Rut tiet kiem,Mobile Banking,145000000
3074,35,104,6,21,2026-03-23,Tra no vay,Mobile Banking,5000000
2066,95,103,10,35,2025-09-02,Gui tiet kiem,POS,174000000
3808,200,110,4,14,2026-06-29,Rut tiet kiem,Mobile Banking,128000000
5479,154,110,10,34,2026-03-11,Giai ngan vay,Quay giao dich,1179000000
4402,,105,12,42,2026-06-22,Chi tieu the,Mobile Banking,1200000
3102,49,106,9,31,2025-07-23,Chi tieu the,Quay giao dich,4300000
2984,180,109,11,39,2025-10-03,Gui tiet kiem,Quay giao dich,207000000
3091,58,108,2,6,2026-06-07,Tra no vay,POS,55000000
3971,,105,8,28,2026-07-25,Phi banca,POS,1600000
811,8,106,9,30,2026-01-03,Giai ngan vay,Quay giao dich,1078000000
3142,388,106,3,11,2025-12-31,Gui tiet kiem,ATM,462000000
3566,355,110,1,1,2026-03-13,Giai ngan vay,Quay giao dich,1771000000
5720,123,104,1,2,2026-07-17,Tra no vay,POS,66000000
1259,330,105,11,36,2025-10-18,Rut tiet kiem,ATM,56000000
3932,7,103,4,14,2026-01-11,Tra no vay,Quay giao dich,33000000
2797,226,104,1,5,2026-06-12,Rut tiet kiem,Quay giao dich,111000000
4923,131,110,11,36,2026-05-28,Tra no vay,ATM,62000000
2169,12,110,8,27,2026-04-28,Giai ngan vay,POS,560000000
5925,154,106,10,34,2026-01-23,Giai ngan vay,Quay giao dich,1792000000
1195,167,108,2,7,2026-06-23,Rut tiet kiem,Internet Banking,286000000
4197,214,108,1,3,2025-10-14,Tra no vay,Internet Banking,80000000
3821,212,106,8,26,2025-09-17,Gui tiet kiem,Quay giao dich,429000000
1375,384,103,8,26,2026-03-03,Chi tieu the,POS,4100000
3159,231,106,2,8,2025-08-05,Giai ngan vay,POS,1879000000
498,60,108,10,34,2026-05-15,Tra no vay,Internet Banking,21000000
4301,245,104,3,10,2026-06-30,Giai ngan vay,Mobile Banking,524000000
2715,279,108,8,26,2025-10-06,Chi tieu the,Quay giao dich,900000
2875,197,106,6,21,2026-05-12,Rut tiet kiem,Internet Banking,296000000
5362,235,109,10,32,2025-08-04,Tra no vay,Quay giao dich,18000000
4946,109,108,2,6,2025-08-15,Tra no vay,Mobile Banking,2000000
5308,217,108,5,16,2026-07-06,Tra no vay,Mobile Banking,100000000
1912,229,102,5,17,2026-04-12,Giai ngan vay,Internet Banking,792000000
3474,242,106,9,31,2026-01-24,Chi tieu the,ATM,400000
3014,228,101,2,6,2025-12-01,Tra no vay,Quay giao dich,76000000
4807,397,107,1,5,2026-03-16,Gui tiet kiem,POS,453000000
3492,262,103,3,10,2026-03-15,Tra no vay,Quay giao dich,62000000
4469,166,103,10,32,2025-08-29,Giai ngan vay,POS,1910000000
520,230,105,3,9,2026-04-20,Tra no vay,Quay giao dich,96000000
5557,351,101,5,16,2026-02-19,Rut tiet kiem,ATM,74000000
5260,54,110,8,28,2026-01-18,Rut tiet kiem,Quay giao dich,226000000
5324,285,107,2,7,2026-04-19,Phi banca,Mobile Banking,600000
2572,327,106,7,25,2025-09-29,Tra no vay,POS,52000000
3425,285,109,2,7,2026-05-27,Phi banca,POS,1000000
4762,352,101,10,35,2025-12-24,Chi tieu the,POS,4500000
3999,40,110,8,27,2026-07-24,Phi banca,Quay giao dich,500000
1316,84,104,12,42,2025-08-17,Giai ngan vay,Internet Banking,895000000
4841,31,109,3,11,2026-06-13,Gui tiet kiem,ATM,447000000
1173,224,109,3,9,2025-08-12,Rut tiet kiem,POS,262000000
347,399,102,12,40,2025-12-14,Gui tiet kiem,Mobile Banking,126000000
816,298,101,8,28,2026-06-07,Tra no vay,Internet Banking,59000000
2695,75,105,12,42,2026-05-15,Gui tiet kiem,Internet Banking,469000000
1065,133,104,9,30,2026-03-21,Phi banca,POS,1000000
4872,232,110,4,12,2025-09-17,Rut tiet kiem,POS,76000000
5884,163,110,5,16,2026-01-15,Gui tiet kiem,Quay giao dich,7000000
5924,74,110,7,25,2026-02-15,Tra no vay,ATM,82000000
5681,307,101,12,40,2026-04-25,Giai ngan vay,POS,203000000
195,360,110,12,40,2025-11-09,Giai ngan vay,Quay giao dich,76000000
4434,262,101,3,10,2026-01-28,Phi banca,Quay giao dich,1300000
3042,74,110,7,25,2026-01-08,Tra no vay,Quay giao dich,9000000
1454,359,103,6,20,2025-07-04,Giai ngan vay,Mobile Banking,1047000000
1326,58,101,2,6,2026-01-15,Phi banca,Quay giao dich,1000000
4790,193,101,11,39,2026-01-04,Rut tiet kiem,ATM,24000000
4212,257,106,9,30,2025-09-20,Chi tieu the,POS,100000
3547,239,102,11,38,2026-04-04,Giai ngan vay,Quay giao dich,838000000
1644,188,110,3,10,2025-10-18,Tra no vay,ATM,31000000
2135,94,103,4,12,2026-01-08,Tra no vay,Quay giao dich,19000000
1373,321,107,4,14,2026-05-17,Rut tiet kiem,Internet Banking,135000000
4107,94,104,4,12,2025-10-08,Tra no vay,Internet Banking,35000000
